Wall time,Step,Value
1696394223.6441844,0,49.929046630859375
1696394797.595159,8000,34.919837951660156
1696395464.9794002,12000,56.29658508300781
1696396137.8819904,16000,37.27949142456055
1696396805.708654,20000,83.87452697753906
1696397469.0162497,24000,164.29017639160156
1696398139.319425,28000,311.16656494140625
1696398795.7668662,32000,158.02566528320312
1696399451.6204891,36000,183.06512451171875
1696400104.2051294,40000,195.81979370117188
1696400759.8196714,44000,237.3260498046875
1696401420.0438871,48000,279.46484375
1696402076.995645,52000,410.39202880859375
1696402739.9349072,56000,444.5129699707031
1696403401.229349,60000,408.53497314453125
1696404067.2805161,64000,494.1634521484375
1696404731.903642,68000,514.9046630859375
1696405391.5659854,72000,547.5679931640625
1696406052.2565596,76000,429.0409240722656
1696406715.599709,80000,585.790771484375
1696407379.872451,84000,522.8460083007812
1696408041.6006343,88000,657.1158447265625
1696408699.7500095,92000,629.1485595703125
1696409353.9446602,96000,614.31201171875
1696410005.6173232,100000,851.55908203125
1696410654.6286259,104000,606.7320556640625
1696411310.0479915,108000,795.920654296875
1696411959.8740237,112000,882.6807861328125
1696412613.0484836,116000,815.373779296875
1696413265.1384919,120000,829.10888671875
1696413914.2185135,124000,719.5135498046875
1696414569.960609,128000,787.2498779296875
1696415220.3799002,132000,741.648193359375
1696415874.1156414,136000,790.6870727539062
1696416526.0755856,140000,796.7049560546875
1696417175.0727878,144000,863.997802734375
1696417830.3892345,148000,643.5902099609375
1696418480.8947666,152000,904.3319702148438
1696419134.470933,156000,865.156005859375
1696419787.0184908,160000,788.945068359375
1696420435.6585944,164000,801.9336547851562
1696421091.593317,168000,941.773681640625
1696421742.4348521,172000,901.751220703125
1696422395.143035,176000,932.4241943359375
1696423047.6435518,180000,885.5687255859375
1696423699.2577894,184000,916.2489013671875
1696424358.4887977,188000,749.2581787109375
1696425012.8647475,192000,942.5814208984375
1696425671.0206363,196000,933.4574584960938
1696426330.3014138,200000,857.7098388671875
1696426985.023159,204000,950.6112060546875
1696427646.825781,208000,882.552734375
1696428304.703705,212000,925.674072265625
1696428970.2440724,216000,923.3546142578125
1696429700.2991786,220000,955.45166015625
1696430364.713834,224000,937.2654418945312
1696431035.5358758,228000,940.9763793945312
1696431702.40555,232000,922.9642333984375
1696432374.201752,236000,969.3110961914062
1696433043.475702,240000,950.009765625
1696433709.6357384,244000,917.1189575195312
1696434381.1762912,248000,917.6756591796875
1696435048.9297671,252000,785.533935546875
1696435718.9114575,256000,848.5936889648438
1696436388.0274334,260000,898.31640625
1696437052.9939346,264000,882.7249145507812
1696437724.723892,268000,968.936279296875
1696438391.3867412,272000,859.4521484375
1696439062.6004038,276000,898.241943359375
1696439733.287724,280000,913.7887573242188
1696440398.8255424,284000,818.8890380859375
1696441071.9063272,288000,944.597900390625
1696441739.9688463,292000,935.1671142578125
1696442410.1764798,296000,881.8724365234375
1696443080.2733035,300000,842.722900390625
1696443746.75753,304000,866.640625
1696444419.4400156,308000,941.354248046875
1696445091.0472841,312000,935.8846435546875
1696445761.6470172,316000,895.2340698242188
1696446433.2945113,320000,873.3505859375
1696447101.4797158,324000,906.70361328125
1696447775.4258435,328000,959.92236328125
1696448444.2252314,332000,865.9448852539062
1696449115.2733107,336000,943.45849609375
1696449788.0324848,340000,958.0333251953125
1696450459.8130512,344000,927.3406372070312
1696451139.766569,348000,930.5863037109375
1696451814.368307,352000,975.3191528320312
1696452492.9459965,356000,973.6807250976562
1696453166.521929,360000,963.096923828125
1696453836.1003146,364000,946.75390625
1696454518.5678751,368000,906.3081665039062
1696455197.0961437,372000,900.0621337890625
1696455871.7682407,376000,960.59521484375
1696456548.6786058,380000,979.9918823242188
1696457223.2518766,384000,918.2967529296875
1696457906.5005367,388000,971.0247802734375
1696458581.6855485,392000,981.940185546875
1696459259.223664,396000,979.3636474609375
1696459934.9598486,400000,978.6227416992188
1696460615.9704862,404000,958.6551513671875
1696461302.5643723,408000,940.3543701171875
1696461980.7715805,412000,937.2694091796875
1696462663.612423,416000,965.3746948242188
1696463343.8632448,420000,889.7855834960938
1696464021.2130053,424000,957.3724365234375
1696464703.8408847,428000,873.9322509765625
1696465380.3903725,432000,984.2681884765625
1696466063.6890757,436000,927.06298828125
1696466745.6347594,440000,928.869873046875
1696467425.1163158,444000,859.4937133789062
1696468110.2283714,448000,954.008056640625
1696468791.4137444,452000,913.2303466796875
1696469474.4718795,456000,902.1485595703125
1696470156.4762652,460000,953.7337646484375
1696470836.2826495,464000,929.1781616210938
1696471521.6865134,468000,946.5521240234375
1696472203.4385817,472000,943.8651123046875
1696472888.8977969,476000,960.881591796875
1696473571.170847,480000,911.428955078125
1696474250.8579755,484000,917.3475341796875
1696474936.3402045,488000,984.7496337890625
1696475617.0650468,492000,925.1265869140625
1696476300.4119892,496000,956.6521606445312
1696476982.8225086,500000,960.2103271484375
1696477662.0914402,504000,915.054931640625
1696478347.6159694,508000,930.48486328125
1696479028.808499,512000,948.721435546875
1696479712.4617534,516000,959.9717407226562
1696480394.7896025,520000,948.636962890625
1696481074.6025822,524000,951.9293212890625
1696481760.1187382,528000,948.5045166015625
1696482441.449803,532000,897.5289306640625
1696483125.5275426,536000,927.6724853515625
1696483808.1700823,540000,949.6201782226562
1696484488.3364167,544000,904.6776123046875
1696485168.0583837,548000,941.8851928710938
1696485838.352089,552000,830.0819702148438
1696486512.33082,556000,984.3924560546875
