Wall time,Step,Value
1696739367.7915595,0,49.929046630859375
1696740517.838243,8000,33.858863830566406
1696741874.9549007,12000,53.60358810424805
1696743233.0785193,16000,193.2139129638672
1696744593.5487564,20000,45.41532516479492
1696745954.164823,24000,156.07504272460938
1696747314.6802151,28000,227.2047119140625
1696748673.5511258,32000,231.6534881591797
1696750032.0858982,36000,390.95257568359375
1696751390.3314493,40000,287.15447998046875
1696752749.3229802,44000,381.3492736816406
1696754108.005227,48000,258.72930908203125
1696755465.8500223,52000,408.893310546875
1696756824.787478,56000,531.5313720703125
1696758182.8812149,60000,485.1546936035156
1696759541.1163785,64000,515.9136962890625
1696760901.2262871,68000,566.9927978515625
1696762261.4108734,72000,573.8909912109375
1696763621.3944762,76000,595.4169921875
1696764981.0659719,80000,550.1031494140625
1696766342.090935,84000,797.7637939453125
1696767702.1623163,88000,790.662109375
1696769062.331232,92000,770.9149780273438
1696770422.541057,96000,617.7028198242188
1696771782.0677993,100000,613.2213745117188
1696773141.7983449,104000,670.869873046875
1696774501.2155945,108000,850.6942749023438
1696775861.1845021,112000,741.6201171875
1696777220.3979075,116000,804.3045654296875
1696778578.364174,120000,759.39306640625
1696779938.429055,124000,820.69384765625
1696781297.46649,128000,733.6676025390625
1696782656.4864795,132000,888.001953125
1696784017.226084,136000,888.9293823242188
1696785377.1026223,140000,862.80029296875
1696786737.378716,144000,855.442626953125
1696788098.1387854,148000,911.882568359375
1696789457.8036656,152000,676.2700805664062
1696790818.2997348,156000,836.7200927734375
1696792178.4426212,160000,800.6071166992188
1696793538.42733,164000,917.8084716796875
1696794898.3833168,168000,887.915771484375
1696796256.8913484,172000,769.2247314453125
1696797615.7584796,176000,807.26025390625
1696798975.6757302,180000,831.3147583007812
1696800334.7164016,184000,914.9808349609375
1696801695.121118,188000,860.5626220703125
1696803053.9231524,192000,914.0885009765625
1696804413.4789162,196000,917.5010375976562
1696805772.4493778,200000,886.2540283203125
1696807133.5482543,204000,804.347900390625
1696808495.0027711,208000,838.3658447265625
1696809854.51073,212000,895.9451293945312
1696811214.635558,216000,915.948974609375
1696812575.785414,220000,942.518798828125
1696813935.3287628,224000,917.882080078125
1696815295.4091284,228000,904.01171875
1696816655.8085961,232000,855.3616333007812
1696818015.9777055,236000,939.9288940429688
